rank,name,mbid,listeners,playcount
1,The Weeknd,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,5022809,1021358879
2,"Tyler, The Creator",f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,4069112,961722659
3,Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,5654543,3405301973
4,Radiohead,a74b1b7f-71a5-4011-9441-d0b5e4122711,7907062,1266279394
5,Kendrick Lamar,381086ea-f511-4aba-bdf9-71c753dc5077,4832257,954255600
6,Tame Impala,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,3935657,355999919
7,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848,7406134,956395076
8,Sabrina Carpenter,1882fe91-cdd9-49c9-9956-8e06a3810bd4,2958346,533474974
9,Ariana Grande,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,4171966,989900588
10,Kanye West,0eb17834-1d29-47ef-a422-9dc68d73c5e4,7673191,1417479992
11,Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f,6459310,1041798157
12,Charli xcx,260b6184-8828-48eb-945c-bc4cb6fc34ca,3523137,636607224
13,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,7973434,550809981
14,Billie Eilish,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,3963718,761205323
15,Lana Del Rey,b7539c32-53e7-4908-bda3-81449c367da6,4991614,1439737493
16,Doja Cat,5df62a88-cac9-490a-b62c-c7c88f4020f4,3375144,419917382
17,Arctic Monkeys,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,6810392,877907739
18,PinkPantheress,7441014f-f8f5-494f-81db-ff166fbc078d,2658580,253161481
19,Gorillaz,e21857d5-3256-4547-afb3-4b6ded592596,6560121,469645585
20,Frank Ocean,e520459c-dff4-491d-a6e4-c97be35e0044,4032209,715119071
21,Chappell Roan,56a55378-f155-48de-80a5-d80104221267,2342768,293499667
22,Paramore,44cf61b8-5197-448a-b82b-cef6ee89fac5,5348358,536801590
23,The Marías,7a3970c9-ecd8-4eee-a267-4d8c77d97ff3,2187066,182225361
24,Travis Scott,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,3137304,628292256
25,Deftones,7527f6c2-d762-4b88-b5e2-9244f1e34c46,3971426,502620227
26,Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e,4467829,281772174
27,The Smiths,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,4800860,493985455
28,Joji,74922d42-c3ec-4f7d-8a24-20da6eda6ba6,2741284,312188625
29,Fleetwood Mac,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,4599439,263894513
30,SZA,272989c8-5535-492d-a25c-9f58803e027f,3299167,542997919
31,Playboi Carti,2baf3276-ed6a-4349-8d2e-f4601e7b2167,2311116,704521072
32,Linkin Park,f59c5520-5f46-4d2c-b2c4-822eabf53419,6652240,680088682
