mbid,listeners,playcount
777a21a8-0d0f-4cf3-86b4-65bc0eba5649,2121606,49349863
703c557f-82bb-4646-ae2f-b5a3ef3f6148,0,0
25848dee-8562-4a78-b375-3a80b61da629,19286,135707
3e7bcc53-53d4-41d8-afbc-69f82b858fd9,31,403
43a0ce3a-a3d5-45c0-b944-bd8f5e021237,1,1
89aa5ecb-59ad-46f5-b3eb-2d424e941f19,2073739,322759467
0c3505e7-d884-43cf-9028-d318607190a4,1645731,77904741
04bac789-bf59-4383-8ad7-799d20d969f7,1474488,15445280
e99e2c02-0ca7-4687-897c-efedbe5b98c2,4,8
5ab9fb83-59da-4510-941e-fd42189199aa,0,0
68cff6ec-3751-4bd5-9254-f4a77fe7e08f,45876,392597
c8975bbf-2778-47ae-accf-c584e644450d,12,249
bc601632-cb0c-4a0f-ba09-8f335ce5ca2f,0,0
e6ce60d3-f08d-4f02-837c-5a3022df17fd,0,0
b2a55d82-85fb-4ae4-885d-f2b96f1a726f,1,1
d0693759-d13d-4661-871d-0eb8500acecc,11109,24442
7944ed53-2a58-4035-9b93-140a71e41c34,2659439,61729740
63aa26c3-d59b-4da4-84ac-716b54f1ef4d,3975828,363796450
92776515-4c09-4cc0-8f9f-4f8b7218b10a,0,0
0b966a38-5ad9-43c1-b86b-c07079523165,1382357,60284895
be797221-0117-45e3-81da-996f8d29db62,31963,219190
fc4568b6-cbe3-4a3d-8409-28510c19e3e2,2054,20920
e888bbab-c4b6-4e06-b93d-4cc388d35059,2,4
0a7920d5-135b-4bca-885c-ebd79f0d5d9f,1588326,37421620
ece590a3-ae0e-4311-bcf3-ee07cfb7b4f0,132142,777773
a383f062-e527-4a57-98b0-9205b2f8f171,7304,33258
4374e50c-f57d-492c-bd70-c11422f7fde6,8,47
95095667-9471-4946-a4a3-d0b3eb7edc48,0,0
ea719716-da05-46f8-bbd5-cc5803db3d0e,105,750
f287b207-b425-465f-a103-b912fbb0dd28,318,791
f3fc0db0-65e7-49c8-96d9-d0b7c1e23c81,199,2814
12327d75-47d5-45d9-84c2-3760b9210c17,714435,14122305
b7d92248-97e3-4450-8057-6fe06738f735,2556152,132436116
7e1e5648-1d6a-4248-975a-98603e781848,1155823,99776302
46ca8889-f33e-46ae-8379-09f48bc84897,0,0
d74dafbd-e974-4393-9d01-3bc2d81e2dc8,6407,96780
aeb6fd9b-6050-43cf-8a8c-6dbcb6ccabfa,0,0
9f0a2d07-e414-4829-85df-b0d801d8ee32,12139,56090
be092119-86ca-40fc-ba92-7626b8568b25,93,260
871fe26f-544d-4275-a5dd-af5442d15b92,1260612,49920383
f7b6a303-2abb-42ce-bb7a-b84fa52bb585,87,133
373a4c98-a46b-48e4-86ec-f6ca65b4f438,1351281,58559918
bb9fe2b7-87fa-43e6-95ca-bc4592d8d5bc,40,156
a0270d23-e6c8-4202-a85f-8cd0a9bb2579,19,46
e821a756-487f-4931-a02f-27cf11cec7bf,546236,8041322
eb28cee9-090d-4f96-8490-5504180caa45,1,4
cc197bad-dc9c-440d-a5b5-d52ba2e14234,8826768,753994718
a0b77a10-ecff-4b84-b1f3-008391038d67,2478,9834
9c5f0dca-d34c-4091-9e92-545e5899caad,15107,38828
9fb2e361-6b56-44ae-b276-50e46e8f8688,20362,76079
2f522f5c-111c-4ce8-8bd0-d82e97c227ad,2078836,46654121
cf3bab56-feda-41ec-9aef-a9a31b1ad97e,678,3070
