u,v,weight_raw,weight_size_adj,first_collab_date,last_collab_date,recency_weight,roles_overlap,genre_overlap,low_overlap
0ef9b4c4-4a41-4ad8-9c64-98c0419c0150,1ac73985-2cfa-433a-a6f8-379480e87179,1,0.166667,1984-01-01,1984-01-01,1.0,1.0,1.0,0
0ef9b4c4-4a41-4ad8-9c64-98c0419c0150,2093207d-cb69-4789-866b-5ac772c9ebd3,1,0.166667,1984-01-01,1984-01-01,1.0,1.0,1.0,0
0ef9b4c4-4a41-4ad8-9c64-98c0419c0150,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,1,0.166667,1984-01-01,1984-01-01,1.0,0.1,0.125,1
1ac73985-2cfa-433a-a6f8-379480e87179,2093207d-cb69-4789-866b-5ac772c9ebd3,1,0.166667,1984-01-01,1984-01-01,1.0,1.0,1.0,0
1ac73985-2cfa-433a-a6f8-379480e87179,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,1,0.166667,1984-01-01,1984-01-01,1.0,0.1,0.125,1
2093207d-cb69-4789-866b-5ac772c9ebd3,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,1,0.166667,1984-01-01,1984-01-01,1.0,0.1,0.125,1
0ce1a4c2-ad1e-40d0-80da-d3396bc6518a,1f52af22-0207-40ac-9a15-e5052bb670c2,6,0.6,1982-09-01,1992-01-01,1.0,1.0,1.0,0
0ce1a4c2-ad1e-40d0-80da-d3396bc6518a,7f347782-eb14-40c3-98e2-17b6e1bfe56c,6,0.6,1982-09-01,1992-01-01,1.0,0.5,1.0,0
0ce1a4c2-ad1e-40d0-80da-d3396bc6518a,8bfac288-ccc5-448d-9573-c33ea2aa5c30,1,0.1,1982-09-01,1982-09-01,1.0,0.0,1.0,0
0ce1a4c2-ad1e-40d0-80da-d3396bc6518a,a94e530f-4e9f-40e6-b44b-ebec06f7900e,6,0.6,1982-09-01,1992-01-01,1.0,0.5,1.0,0
1f52af22-0207-40ac-9a15-e5052bb670c2,7f347782-eb14-40c3-98e2-17b6e1bfe56c,6,0.6,1982-09-01,1992-01-01,1.0,0.5,1.0,0
1f52af22-0207-40ac-9a15-e5052bb670c2,8bfac288-ccc5-448d-9573-c33ea2aa5c30,1,0.1,1982-09-01,1982-09-01,1.0,0.0,1.0,0
1f52af22-0207-40ac-9a15-e5052bb670c2,a94e530f-4e9f-40e6-b44b-ebec06f7900e,6,0.6,1982-09-01,1992-01-01,1.0,0.5,1.0,0
7f347782-eb14-40c3-98e2-17b6e1bfe56c,8bfac288-ccc5-448d-9573-c33ea2aa5c30,1,0.1,1982-09-01,1982-09-01,1.0,0.0,1.0,0
7f347782-eb14-40c3-98e2-17b6e1bfe56c,a94e530f-4e9f-40e6-b44b-ebec06f7900e,6,0.6,1982-09-01,1992-01-01,1.0,1.0,1.0,0
8bfac288-ccc5-448d-9573-c33ea2aa5c30,a94e530f-4e9f-40e6-b44b-ebec06f7900e,1,0.1,1982-09-01,1982-09-01,1.0,0.0,1.0,0
1a9d7ebe-2bab-47b7-9c08-8ebff789d134,f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,2,1.035714,2011-05-10,2012-01-01,1.0,0.083333,0.0,1
20244d07-534f-4eff-b4d4-930878889970,20ed1946-1317-4f9e-ae72-817548b4ace2,1,0.166667,1978-01-01,1978-01-01,1.0,0.090909,1.0,0
