"mbid","clustering_local","triangles","open_wedges","gwesp_contrib","degree","eigencentrality","pagerank","kcore","betweenness","closeness","same_genre_share"
"777a21a8-0d0f-4cf3-86b4-65bc0eba5649",1,1,0,0,2,2.50917304309541e-05,0.00018145157754703,2,0,0.149266516757683,1
"703c557f-82bb-4646-ae2f-b5a3ef3f6148",1,66,0,0,12,0.000147232549962932,0.000412783089902198,12,0,0.170749632533072,0.916666666666667
"25848dee-8562-4a78-b375-3a80b61da629",1,10,0,0,5,0,0.000240697162684271,5,0,0.430379746835443,1
"3e7bcc53-53d4-41d8-afbc-69f82b858fd9",1,15,0,0,6,0.00551100955348418,0.000284999819558569,6,0,0.230260984473076,0.5
"43a0ce3a-a3d5-45c0-b944-bd8f5e021237",0.4,4,6,0,5,5.22021628262662e-06,0.000396050666358434,3,0.00211767757290959,0.147092961907777,0.4
"89aa5ecb-59ad-46f5-b3eb-2d424e941f19",0.221343873517787,56,197,0,23,0.014268813055569,0.00112037063056667,9,0.00439486196262961,0.237316990125979,0.130434782608696
"0c3505e7-d884-43cf-9028-d318607190a4",1,1,0,0,2,4.7470375219617e-17,0.000387611922942527,2,0,1,1
"04bac789-bf59-4383-8ad7-799d20d969f7",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"e99e2c02-0ca7-4687-897c-efedbe5b98c2",1,28,0,0,8,0.00597537094618433,0.000314861641222592,8,0,0.21003465421124,0.625
"5ab9fb83-59da-4510-941e-fd42189199aa",1,6,0,0,4,0.000551100956517078,0.000279645870457646,4,0,0.188735445437314,0.75
"68cff6ec-3751-4bd5-9254-f4a77fe7e08f",0,0,0,0,1,4.03442801323253e-17,0.000387611922942887,1,0,1,1
"c8975bbf-2778-47ae-accf-c584e644450d",1,21,0,0,7,0,0.000387611922942694,7,0,1,1
"bc601632-cb0c-4a0f-ba09-8f335ce5ca2f",1,15,0,0,6,0.00147231187245271,0.000286779621300446,6,0,0.176545086119554,1
"e6ce60d3-f08d-4f02-837c-5a3022df17fd",0,0,0,0,1,4.04325699658231e-17,0.000387611922942887,1,0,1,1
"b2a55d82-85fb-4ae4-885d-f2b96f1a726f",1,15,0,0,6,0.000219308088119578,0.000373219300098785,6,0,0.157371867238654,1
"d0693759-d13d-4661-871d-0eb8500acecc",0,0,0,0,1,3.91130778786589e-17,0.000387611922942887,1,0,1,1
"7944ed53-2a58-4035-9b93-140a71e41c34",0.285714285714286,6,15,0,7,0.000223153503310695,0.000622661819340569,3,0.00141458217316235,0.159569597069597,0.857142857142857
"63aa26c3-d59b-4da4-84ac-716b54f1ef4d",0,0,0,0,0,5.25564033535461e-19,5.81417884416849e-05,0,0,0,0
"92776515-4c09-4cc0-8f9f-4f8b7218b10a",1,1,0,0,2,4.83651397606878e-17,0.000387611922942527,2,0,1,1
"0b966a38-5ad9-43c1-b86b-c07079523165",0.4,6,9,0,6,0.00211925307765965,0.000467098629222614,3,0.0017660027310107,0.183832256362917,0.833333333333333
"be797221-0117-45e3-81da-996f8d29db62",0.8,8,2,0,5,3.64284093137952e-17,0.000441157757902744,4,1.69522700360999e-07,1,1
"fc4568b6-cbe3-4a3d-8409-28510c19e3e2",1,190,0,0,20,0.903585867658378,0.000507526612084906,20,0,0.210161314638927,0.85
"e888bbab-c4b6-4e06-b93d-4cc388d35059",1,1,0,0,2,4.96948503737042e-17,0.000387611922942527,2,0,1,1
