,model,rmse_log,r2_log,cv_rmse_log_mean,cv_rmse_log_std,cv_r2_log_mean,cv_r2_log_std,feature_set
0,catboost,2.408125792780194,0.40365845612444595,2.4112552012916217,0.01274705434787677,0.40748300066335225,0.008829373253623143,base+graph+n2v
1,catboost,2.4178080074347714,0.3988534627455359,2.421655105196528,0.011670326316227457,0.40235206092199255,0.00930563415827645,base+n2v
2,catboost,2.544825869137961,0.3340327563069073,2.54444279069281,0.007170375501307416,0.34023416090178593,0.007702471581756203,base+graph
3,catboost,2.5603016630201174,0.3259082634858541,2.558958717526857,0.007976849787605865,0.33268120753416053,0.008190993000353477,base
4,catboost,2.623364332584496,0.2922922593552735,2.636715266559409,0.007254527426027584,0.2915168129293101,0.008027709699695431,graph+n2v
5,catboost,2.656775693854459,0.27415062802996226,2.6627810810244266,0.007872389219558042,0.2774433405707514,0.007942096689668178,n2v
6,xgboost,2.7180990634882973,0.24025598328345887,2.7200047067184014,0.012865374065741493,0.24609170797983299,0.005246085964150981,base+n2v
7,xgboost,2.7180990634882973,0.24025598328345887,2.7200263514365624,0.012879558962760189,0.2460798426544672,0.005232326443160096,base+graph+n2v
8,xgboost,2.802621606754558,0.19227103214065866,2.81117212265152,0.010327709325714793,0.19470413315800816,0.004898303123067836,base+graph
9,xgboost,2.8061408526893397,0.19024123147039118,2.8141026028952076,0.010917118046151761,0.19302598133988405,0.004839161573540532,base
10,xgboost,2.8640366248460665,0.15648295778554222,2.8681829598034967,0.012984215984729442,0.1617251843598805,0.0032177071218834927,graph+n2v
11,xgboost,2.8684971010053735,0.1538535099006917,2.8718587218172296,0.012674936232779373,0.15957384232398492,0.00335352903698211,n2v
12,catboost,3.048954078495124,0.04404270136659638,3.066170044780928,0.013578085689550216,0.04199737573166877,0.004275429768160252,graph
13,xgboost,3.0635665685748577,0.034857656224009936,3.075774157851336,0.014407277365020557,0.035995618231119145,0.002307677034248387,graph
