source_id,source,target_id,target,weight,example_songs
18690715-59fa-4e4d-bcf3-8025cf1c23e0,Guy Berryman,98d1ec5a-dd97-4c0b-9c83-7928aac89bca,Chris Martin,13,A Sky Full of Stars; Clocks; Don't Panic; Fix You; In My Place; Shiver; Speed of Sound; Talk; The Scientist; Trouble; Violet Hill; Viva la Vida; Yellow
18690715-59fa-4e4d-bcf3-8025cf1c23e0,Guy Berryman,d156ceb2-fd90-4e82-baea-829bbdf1c127,Jonny Buckland,13,A Sky Full of Stars; Clocks; Don't Panic; Fix You; In My Place; Shiver; Speed of Sound; Talk; The Scientist; Trouble; Violet Hill; Viva la Vida; Yellow
18690715-59fa-4e4d-bcf3-8025cf1c23e0,Guy Berryman,6953c4db-7214-4724-a140-e87550bde420,Will Champion,13,A Sky Full of Stars; Clocks; Don't Panic; Fix You; In My Place; Shiver; Speed of Sound; Talk; The Scientist; Trouble; Violet Hill; Viva la Vida; Yellow
d156ceb2-fd90-4e82-baea-829bbdf1c127,Jonny Buckland,98d1ec5a-dd97-4c0b-9c83-7928aac89bca,Chris Martin,13,A Sky Full of Stars; Clocks; Don't Panic; Fix You; In My Place; Shiver; Speed of Sound; Talk; The Scientist; Trouble; Violet Hill; Viva la Vida; Yellow
d156ceb2-fd90-4e82-baea-829bbdf1c127,Jonny Buckland,6953c4db-7214-4724-a140-e87550bde420,Will Champion,13,A Sky Full of Stars; Clocks; Don't Panic; Fix You; In My Place; Shiver; Speed of Sound; Talk; The Scientist; Trouble; Violet Hill; Viva la Vida; Yellow
7b98b4c7-37e2-4dd0-9290-7312c55aa8da,Kid Harpoon,7eb1ce54-a355-41f9-8d68-e018b096d427,Harry Styles,13,Adore You; As It Was; Cherry; Falling; Fine Line; Golden; Late Night Talking; Lights Up; Matilda; Music for a Sushi Restaurant; Satellite; Sweet Creature; Watermelon Sugar
6953c4db-7214-4724-a140-e87550bde420,Will Champion,98d1ec5a-dd97-4c0b-9c83-7928aac89bca,Chris Martin,13,A Sky Full of Stars; Clocks; Don't Panic; Fix You; In My Place; Shiver; Speed of Sound; Talk; The Scientist; Trouble; Violet Hill; Viva la Vida; Yellow
8df62446-21d3-4449-8901-9e2914362639,Anthony Kiedis,da8f13f1-2a7f-44f7-93a8-3f5f9d7fa52d,Chad Smith,12,Around the World; By the Way; Californication; Can't Stop; Give It Away; Otherside; Parallel Universe; Road Trippin'; Scar Tissue; Snow (Hey Oh); Suck My Kiss; Tell Me Baby
2d4a1dd1-2cd8-4553-bf0b-74b8c9179633,Brad Delson,d07bca29-d980-4100-8cad-065a05f2b343,Joseph “Joe” Hahn,12,Breaking the Habit; Crawling; Faint; In the End; Lying from You; Numb; One Step Closer; Papercut; Points of Authority; Runaway; Somewhere I Belong; What I've Done
2d4a1dd1-2cd8-4553-bf0b-74b8c9179633,Brad Delson,c262b6bf-be56-4b26-bceb-42d7a27342f3,Mike Shinoda,12,Breaking the Habit; Crawling; Faint; In the End; Lying from You; Numb; One Step Closer; Papercut; Points of Authority; Runaway; Somewhere I Belong; What I've Done
415e30a0-116b-4a4f-8cbf-8d0f6406bbab,Chester Bennington,2d4a1dd1-2cd8-4553-bf0b-74b8c9179633,Brad Delson,12,Breaking the Habit; Crawling; Faint; In the End; Lying from You; Numb; One Step Closer; Papercut; Points of Authority; Runaway; Somewhere I Belong; What I've Done
415e30a0-116b-4a4f-8cbf-8d0f6406bbab,Chester Bennington,d07bca29-d980-4100-8cad-065a05f2b343,Joseph “Joe” Hahn,12,Breaking the Habit; Crawling; Faint; In the End; Lying from You; Numb; One Step Closer; Papercut; Points of Authority; Runaway; Somewhere I Belong; What I've Done
415e30a0-116b-4a4f-8cbf-8d0f6406bbab,Chester Bennington,c262b6bf-be56-4b26-bceb-42d7a27342f3,Mike Shinoda,12,Breaking the Habit; Crawling; Faint; In the End; Lying from You; Numb; One Step Closer; Papercut; Points of Authority; Runaway; Somewhere I Belong; What I've Done
