id,name,weighted_degree,unique_collaborators,betweenness
6622a50e-5206-44d0-9ad5-96047a726dcf,Max Martin,98,32,0.05922538491522821
e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,Travis Scott,87,78,0.12049629429797443
c8b03190-306c-4120-bb0b-6f2ebfc06ea9,The Weeknd,68,39,0.11932926683558702
9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,61,59,0.056529549944085336
b67bf15d-03c3-40a4-9d17-769a964d5005,Łukasz Gottwald,56,25,0.03825122096866949
2d4a1dd1-2cd8-4553-bf0b-74b8c9179633,Brad Delson,55,6,7.007954027821578e-07
415e30a0-116b-4a4f-8cbf-8d0f6406bbab,Chester Bennington,55,6,7.007954027821578e-07
d07bca29-d980-4100-8cad-065a05f2b343,Joseph “Joe” Hahn,55,6,7.007954027821578e-07
c262b6bf-be56-4b26-bceb-42d7a27342f3,Mike Shinoda,55,6,7.007954027821578e-07
f1dd0051-5578-45a7-a733-03113626407f,Rob Bourdon,55,6,7.007954027821578e-07
73e36439-1e9a-4925-bf2c-1d7f7885fbb0,Mike Dean,53,48,0.026632213265933295
272989c8-5535-492d-a25c-9f58803e027f,SZA,48,32,0.05259401556476783
4d41868f-8901-4e77-bbd9-ead5bb7831ee,Amy Allen,48,17,0.037559908404814206
fa9b664a-cfd0-4088-8ed4-a4d7045d351f,Brendon Urie,47,18,0.026469918357335576
358db9a2-3c78-4afb-93b5-d18b34b86eab,Frank Iero,47,6,1.7519885069553944e-06
53dc88bd-cdcb-440d-81aa-51a40ef07848,Gerard Way,47,6,1.7519885069553944e-06
146c09f6-acfb-4a2b-9de6-fbff103927be,Mikey Way,47,6,1.7519885069553944e-06
5438228e-9eb8-4564-9b05-b86aa3e5519d,Ray Toro,47,6,1.7519885069553944e-06
122d63fc-8671-43e4-9752-34e846d62a9c,Katy Perry,43,17,0.012914999211108957
98d1ec5a-dd97-4c0b-9c83-7928aac89bca,Chris Martin,43,7,2.6279827604330916e-06
18690715-59fa-4e4d-bcf3-8025cf1c23e0,Guy Berryman,43,7,2.6279827604330916e-06
d156ceb2-fd90-4e82-baea-829bbdf1c127,Jonny Buckland,43,7,2.6279827604330916e-06
6953c4db-7214-4724-a140-e87550bde420,Will Champion,43,7,2.6279827604330916e-06
7eb1ce54-a355-41f9-8d68-e018b096d427,Harry Styles,42,8,0.0019373543123652511
0eb93ee5-2e6a-4ab4-a988-99c9139a664a,Cirkut,41,22,0.020048584665949904
796db252-ea1d-4964-a89e-88f0521931eb,Brandon Fried,40,13,0.002086881470930053
4a8fd8c3-19a2-4bf3-b1bb-6491a136e55f,Jeremy Freedman,40,13,0.002086881470930053
822bb256-c7be-40ab-9744-9f66ccedb6e2,Jesse,40,13,0.002086881470930053
80060c96-caa9-448c-826c-c204d9da28b0,Mikey Margott,40,13,0.002086881470930053
edbaeeb7-725e-4079-b797-ec41ea423527,Zachary Abels,40,13,0.002086881470930053
f23074f4-2c06-477a-bf1d-12fa66e087ee,Colin Greenwood,40,4,0.0
309d9809-cf74-493a-b56b-1378258f20fd,Ed O’Brien,40,4,0.0
e9fcfbbf-1743-4f73-8744-ada8da7394ea,Jonny Greenwood,40,4,0.0
4ab74d13-d1eb-4895-b874-6da5d8b1aac3,Philip Selway,40,4,0.0
8ed2e0b3-aa4c-4e13-bec3-dc7393ed4d6b,Thom Yorke,40,4,0.0
ea9aa6dd-35a0-4558-8fe1-e1f3f3132920,Tyler Johnson,39,8,0.0019373543123652511
e0140a67-e4d1-4f13-8a01-364355bee46e,Justin Bieber,38,36,0.08012977808808222
c8af4490-e48a-4f91-aef9-2b1e39369576,Savan Kotecha,38,20,0.03079595617757913
f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,37,18,0.03344855642289955
6a9e461c-e3c5-4794-a203-98a15daea2df,Cyhi the Prynce,36,34,0.0009604996963115873
fb7d550f-7518-41ba-95db-33db5287d8e2,Frank Dukes,36,30,0.050957959002231434
8df62446-21d3-4449-8901-9e2914362639,Anthony Kiedis,36,3,0.0
da8f13f1-2a7f-44f7-93a8-3f5f9d7fa52d,Chad Smith,36,3,0.0
2dc7a305-7a8c-4fcc-add4-5e9def0a9a0d,Flea,36,3,0.0
f1571db1-c672-4a54-a2cf-aaa329f26f0b,John Frusciante,36,3,0.0
5a6131f9-f8db-4722-b4d7-6a0c7183c590,benny blanco,35,26,0.07547707097018415
24d311f8-da82-4068-896b-ca061deaccb6,Carter Lang,35,22,0.023838659665636492
2a11b7c9-12d6-495d-a577-7412dd1f7aca,Kevin Gomringer,34,32,0.0026901836661051425
ba991ec6-049b-479f-9020-be2a84dc1473,Tim Gomringer,34,32,0.0026901836661051425
7b98b4c7-37e2-4dd0-9290-7312c55aa8da,Kid Harpoon,34,8,0.005822011937764298
a17ce9c3-8f6f-4dcc-a1b7-2a04ab9e31f0,Swae Lee,32,32,0.017040101933281024
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,32,29,0.05918099046497484
381086ea-f511-4aba-bdf9-71c753dc5077,Kendrick Lamar,32,28,0.03626994395298638
0bc6d6e7-0858-4b73-a079-7aa681095f98,Ryan Tedder,32,15,0.04555223886702632
1882fe91-cdd9-49c9-9956-8e06a3810bd4,Sabrina Carpenter,32,8,0.0017045679138769942
a1421d73-1a21-484b-97ad-77c9a5676daf,Adam Levine,31,24,0.032525897610436845
11166a83-38ff-42c9-8b6b-90620e0874ac,Bob Bryar,31,5,0.0
4d84fa33-3927-429e-9bf5-1d2eb2f9307e,John Ryan,30,13,0.012567829272543872
c8975bbf-2778-47ae-accf-c584e644450d,David Michael Farrell,30,5,0.0
bf314a8f-5dc6-4dc5-8819-d25b4cc38164,Hit‐Boy,29,29,0.011335434369627162
d44ab93a-98c0-483f-ae58-8f9255f816d3,DaHeala,29,17,0.0018018928041820196
f9133869-f87c-459c-9aa7-2f176cda7e06,Tate McRae,29,12,0.010839351748004121
3efdb042-6e1c-45f3-b66b-d56ce59f9025,Spencer Smith,29,8,3.503977013910789e-05
d5ee9a6f-8e10-47e7-bca7-7e3f82aad769,Ali Shaheed Muhammad,28,28,0.0
10a9ff92-9637-4498-afea-7044b2ab0dc0,Busta Rhymes,28,28,0.0
76cc2b96-b065-450c-a366-3420f50341b7,Charlie Brown,28,28,0.0
a8fcf2f0-5b1f-4dd3-9e8a-fd8dff96552a,Chylow Parker,28,28,0.0
084e06f5-3c82-4b71-bd94-dd69e7bd515e,DJ Premier,28,28,0.0
df78c5ab-5a5c-4875-af18-75151fcd2b44,Dinco D,28,28,0.0
ddac1a2e-3fb5-4af6-adf0-f6008c7ddfb5,Easy Mo Bee,28,28,0.0
